('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Ano 1º Sintoma(s)');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Jan');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Fev');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Mar');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Abr');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Mai');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Jun');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Jul');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Ago');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Set');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Out');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Nov');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Dez');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Total');('LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026', 'Unnamed: 14_level_1')
TOTAL;158;221;280;440;637;942;766;452;233;108;118;101;4456;
<1975;0;0;0;0;0;0;0;0;1;0;0;0;1;
1977;0;0;0;0;0;0;0;0;0;0;1;0;1;
1984;0;0;0;1;0;0;0;0;0;0;0;0;1;
1989;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004;0;0;0;1;0;0;0;0;0;0;0;0;1;
2007;7;5;16;18;35;34;31;34;11;4;4;6;205;
2008;5;8;22;32;32;31;27;15;10;4;5;2;193;
2009;8;3;26;32;28;39;33;15;13;2;3;4;206;
2010;6;7;7;11;19;63;88;36;13;4;9;8;271;
2011;11;20;17;39;103;34;70;42;19;7;7;14;383;
2012;9;17;12;8;6;10;18;15;9;5;7;2;118;
2013;4;7;11;10;19;28;42;16;10;7;13;6;173;
2014;10;8;12;16;33;28;43;18;28;10;10;6;222;
2015;4;8;13;6;7;19;48;21;8;0;4;2;140;
2016;12;8;7;21;34;36;17;6;9;1;5;4;160;
2017;3;6;12;11;17;41;60;39;11;6;9;6;221;
2018;13;18;12;47;60;22;12;12;7;2;3;3;211;
2019;8;16;14;29;25;39;33;50;20;7;6;7;254;
2020;5;5;8;6;8;22;5;7;4;5;1;1;77;
2021;2;2;4;21;25;21;21;25;5;6;4;4;140;
2022;9;4;14;22;44;333;68;35;11;12;7;6;565;
2023;9;12;11;27;19;38;68;22;12;6;2;10;236;
2024;13;18;24;19;27;47;33;8;13;12;9;4;227;
2025;9;41;25;17;37;45;49;36;19;7;9;6;300;
2026;11;8;13;46;59;12;0;0;0;0;0;0;149;
